Description,DescriptionType
WEDDING CO RETURNS,PRODUCT RETURN
MAILOUT,SAMPLES
MAILOUT ADDITION,SAMPLES
SAMPLES,SAMPLES
SHOW SAMPLES,SAMPLES
DISPLAY,SHOW ROOM
DISPLAY STANDS,SHOW ROOM
FOR SHOW,SHOW ROOM
SHOW,SHOW ROOM
SHOW DISPLAY,SHOW ROOM
SHOWROOM,SHOW ROOM
CAN T FIND,STOCK CHECK
CANT FIND,STOCK CHECK
CHECK,STOCK CHECK
CHECKED,STOCK CHECK
COUNTED,STOCK CHECK
FBA,STOCK CHECK
FOR ONLINE RETAIL ORDERS,STOCK CHECK
FOUND,STOCK CHECK
FOUND AGAIN,STOCK CHECK
FOUND BOX,STOCK CHECK
FOUND BY JACKIE,STOCK CHECK
FOUND IN W HSE,STOCK CHECK
FOUND SOME MORE ON SHELF,STOCK CHECK
GONE,STOCK CHECK
HAD BEEN PUT ASIDE,STOCK CHECK
LOST,STOCK CHECK
MIA,STOCK CHECK
MISSING,STOCK CHECK
MISSINGS,STOCK CHECK
NO STOCK,STOCK CHECK
NOT RCVD IN 10 11 2010 DELIVERY,STOCK CHECK
SHORT,STOCK CHECK
STOCK CHECK,STOCK CHECK
STOCK CREDITED FROM ROYAL YACHT INC,STOCK CHECK
STOCK TAKE,STOCK CHECK
TEST,TEST PRODUCT
